Title,Url,Price_old,Price_new
"PRX Powermatic 80 Automatic Blue Dial Men's Watch T137.407.11.041.00","https://www.jomashop.com/tissot-t-classic-automatic-blue-dial-mens-watch-t137-407-11-041-00.html","$725.00","$559.99"
"Speedmaster Racing Automatic Chronograph Men's Watch 326.30.40.50.01.001","https://www.jomashop.com/omega-watch-32630405001001.html","$4,800.00","$3,550.00"
"Automatic Orange Dial Men's Watch NJ0150-81Z","https://www.jomashop.com/citizen-automatic-orange-dial-mens-watch-nj0150-81z.html","$599.00","$239.00"
"5 Automatic Black Dial Stainless Steel Men's Watch SNXS79K1","https://www.jomashop.com/seiko-automatic-mens-watch-snxs79.html","$250.00","$134.00"
"Speedmaster Racing Automatic Chronograph Men's Watch 32630405002001","https://www.jomashop.com/omega-watch-32630405002001.html","$4,800.00","$3,389.00"
"5 Automatic Black Arabic Dial Men's Watch SNKP21J1","https://www.jomashop.com/seiko-seiko-5-watch-snkp21j1.html","$250.00","$139.00"
"5 Sports Automatic Black Dial Men's Watch SSK001K1","https://www.jomashop.com/seiko-5-sports-automatic-black-dial-mens-watch-ssk001k1.html","$460.00","$324.00"
"Gentleman Powermatic 80 Automatic Blue Dial Men's Watch T127.407.11.041.00","https://www.jomashop.com/tissot-watch-t127-407-11-041-00.html","$825.00","$546.99"
"Master Collection Moonphase Automatic Chronograph 42 mm Men's Watch L27734783","https://www.jomashop.com/longines-watch-27734783.html","$3,800.00","$2,595.00"
"PRX Chronograph Automatic White Dial Men's Watch T1374271101101","https://www.jomashop.com/tissot-prx-chronograph-automatic-white-dial-mens-watch-t1374271101101.html","$1,895.00","$1,234.99"
"Recraft Automatic Blue Dial Stainless Steel Men's Watch SNKP23","https://www.jomashop.com/seiko-recraft-watch-snkp23.html","$275.00","$149.00"
"Kamasu Automatic Men's Watch RA-AA0003R19B","https://www.jomashop.com/orient-kamasu-watch-ra-aa0003r19b.html","$480.00","$229.00"
"Speedmaster Moon Phase Chronograph Automatic Men's Watch 304.33.44.52.03.001","https://www.jomashop.com/omega-watch-304-33-44-52-03-001.html","$11,200.00","$8,495.00"
"Trainmaster Worldtime Automatic Black Dial Men's Watch GM2020D-L1CJ-BK","https://www.jomashop.com/ball-trainmaster-worldtime-automatic-black-dial-mens-watch-gm2020d-l1cj-bk.html","$3,299.00","$1,650.00"
"Automatic Blue Dial Men's Watch NJ0151-88X","https://www.jomashop.com/citizen-automatic-blue-dial-mens-watch-nj0151-88x.html","$599.00","$249.00"
"Commander II Automatic Silver Dial Men's Watch M0144301103180","https://www.jomashop.com/mido-commander-ii-automatic-silver-dial-mens-watch-m0144301103180.html","$960.00","$349.00"
"T-Sport Automatic Men's Watch T120.407.11.091.01","https://www.jomashop.com/tissot-t-sport-automatic-mens-watch-t120-407-11-091-01.html","$795.00","$512.99"
"Chemin Des Tourelles Automatic Men's Watch T099.408.36.038.00","https://www.jomashop.com/tissot-watch-t099-408-36-038-00.html","$1,150.00","$350.99"
"Seastar 1000 Black Dial Automatic Men's Rubber Watch T120.407.37.051.00","https://www.jomashop.com/tissot-watch-t120-407-37-051-00.html","$875.00","$597.99"
"Series 5 Automatic Silver Dial Men's Watch SNXS73J1","https://www.jomashop.com/seiko-series-5-watch-snxs73j1.html","$220.00","$119.00"
"2nd Generation Bambino Automatic White Dial Men's Watch FAC00009W0","https://www.jomashop.com/orient-watch-fac00009w0.html","$285.00","$165.00"
"5 Sports Automatic Black Dial Men's Watch SRPD79K1","https://www.jomashop.com/seiko-5-sports-automatic-black-dial-mens-watch-srpd79k1.html","$335.00","$214.00"
"Series 5 Automatic Blue Dial Men's Watch SNKD99K1S","https://www.jomashop.com/seiko-watch-snkd99k1s.html","$250.00","$120.00"
"Pelagos LHD Lefty Automatic Black Dial Men's Watch 25610TNL-BKSTI","https://www.jomashop.com/tudor-watch-25610tnl-bksti.html","$5,025.00","$3,995.00"
"Pelagos Chronometer Automatic Blue Dial Men's Watch M25600TB-0001","https://www.jomashop.com/tudor-watch-25600tb-blti.html","$5,025.00","$4,235.00"
"Ocean Star Automatic Black Dial Men's Watch M0424304405100","https://www.jomashop.com/mido-ocean-star-automatic-black-dial-mens-watch-m0424304405100.html","$1,250.00","$846.00"
"Seamaster Diver Automatic Chronometer Green Dial Men's Watch 210.30.42.20.10.001","https://www.jomashop.com/omega-seamaster-diver-automatic-chronometer-green-dial-mens-watch-210-30-42-20-10-001.html","$5,900.00","$4,700.00"
"Seastar Automatic Grey Dial Men's Watch T120.407.11.081.01","https://www.jomashop.com/tissot-seastar-automatic-grey-dial-mens-watch-t120-407-11-081-01.html","$795.00","$529.99"
"Aviation Chronograph Automatic Black Dial Men's Watch H76726530","https://www.jomashop.com/hamilton-aviation-chronograph-automatic-black-dial-mens-watch-h76726530.html","$2,095.00","$1,660.00"
"Speedmaster Moon Phase Chronograph Automatic Men's Watch 304.30.44.52.01.001","https://www.jomashop.com/omega-watch-304-30-44-52-01-001.html","$11,500.00","$9,700.00"
"Highlife Automatic Men's Watch FC-303BL4NH6B","https://www.jomashop.com/frederique-constant-highlife-automatic-mens-watch-fc-303bl4nh6b.html","$2,195.00","$1,020.00"